Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF,Underdog,DraftSharks
703,Jordan Akins,TE,,514.0,1,,,,514.0,,,
704,DeeJay Dallas,RB,JAX,514.8,1,,,514.8,,,,
705,Jordan Watkins,WR,SF,515.0,1,,,,515.0,,,
706,Rasheen Ali,RB,BAL,515.85,2,,,681.7,350.0,,,
707,Younghoe Koo,K,NYJ,515.9,1,,,515.9,,,,
708,KJ. Osborn,WR,TEN,516.0,1,,,,516.0,,,
709,Roman Wilson,WR,PIT,516.45,2,,,651.9,381.0,,,
710,Vernon Davis,TE,,516.5,1,,,516.5,,,,
711,Nate Adkins,TE,DEN,517.0,1,,,,517.0,,,
712,Marlin Klein,TE,HOU,517.5,2,,,666.0,369.0,,,
713,Henry Ruggs,WR,,517.7,1,,,517.7,,,,
714,Dominic Lovett,WR,DET,518.0,1,,,,518.0,,,
715,Cade McDonald,WR,,518.8,1,,,518.8,,,,
716,Michael Burton,RB,CLE,519.0,1,,,,519.0,,,
717,Daniel Bellinger,TE,TEN,519.05,2,,,685.1,353.0,,,
718,Jake Bobo,WR,SEA,519.65,2,,,654.3,385.0,,,
719,AJ Dillon,RB,CAR,520.8,2,,,591.6,450.0,,,
720,Jalen Reagor,WR,MIA,521.0,1,,,,521.0,,,
721,Arian Smith,WR,NYJ,522.0,1,,,,522.0,,,
722,Philip Rivers,QB,,522.4,1,,,522.4,,,,
723,Jermar Jefferson,RB,MIN,522.7,2,,,519.4,526.0,,,
724,Josh Cameron,WR,JAX,523.0,1,,,,523.0,,,
725,Roman Hemby,RB,LV,523.9,2,,,655.8,392.0,,,
726,Miles Kitselman,TE,DET,524.0,1,,,,524.0,,,
727,Alex Kessman,K,CAR,524.3,1,,,524.3,,,,
728,CJ Daniels,WR,LAR,525.05,2,,,680.1,370.0,,,
729,Demarcus Robinson,WR,SF,525.3,2,,,682.6,368.0,,,
730,British Brooks,RB,HOU,525.5,2,,,555.0,496.0,,,
731,Khari Blasingame,RB,,525.8,1,,,525.8,,,,
732,Reid Sinnett,QB,,526.0,1,,,526.0,,,,
733,Jonnu Smith,TE,PIT,526.1,2,,,686.2,366.0,,,
734,Adam Thielen,WR,,527.3,1,,,527.3,,,,
735,Kennedy Brooks,RB,,527.5,1,,,527.5,,,,
736,Jacob Cowing,WR,SF,528.0,1,,,,528.0,,,
737,Derius Davis,WR,LAC,528.65,2,,,633.3,424.0,,,
738,Justin Watson,WR,HOU,529.0,1,,,,529.0,,,
739,Tom Brady,QB,,529.1,1,,,529.1,,,,
740,Corey Kiner,RB,ARI,530.0,1,,,,530.0,,,
741,Jacob Saylors,RB,DET,530.35,2,,,661.7,399.0,,,
742,Reggie Begelton,WR,,530.5,1,,,530.5,,,,
743,Anthony Hankerson,RB,MIA,531.0,1,,,,531.0,,,
744,Jaydn Ott,RB,KC,531.0,2,,,680.0,382.0,,,
745,Kendall Milton,RB,CIN,532.0,1,,,,532.0,,,
746,Sewo Olonilua,RB,,532.5,1,,,532.5,,,,
747,Las Vegas Raiders,DST,LV,533.3,1,,,533.3,,,,
748,Khalil Dinkins,TE,,534.0,1,,,,534.0,,,
749,Cameron Latu,TE,PHI,534.3,1,,,534.3,,,,
750,Khalil Herbert,RB,SF,534.95,2,,,685.9,384.0,,,
751,Gus Edwards,RB,,535.0,1,,,,535.0,,,
752,Cam Akers,RB,,536.0,1,,,,536.0,,,
753,Johnathan Lloyd,WR,,536.0,1,,,536.0,,,,
754,Curtis Samuel,WR,,537.0,1,,,,537.0,,,
755,AJ McCarron,QB,,537.3,1,,,537.3,,,,
756,Gabe Davis,WR,,538.0,1,,,,538.0,,,
757,Juice Wells Jr.,WR,ATL,539.0,1,,,,539.0,,,
758,Miami Dolphins,DST,MIA,539.4,1,,,539.4,,,,
759,Brian Hoyer,QB,,540.5,1,,,540.5,,,,
760,Ja'Quinden Jackson,RB,,541.0,1,,,,541.0,,,
761,Stanley Berryhill,WR,,541.0,1,,,541.0,,,,
762,Kye Robichaux,RB,DET,541.75,2,,,603.5,480.0,,,
763,Tavon Austin,WR,,542.0,1,,,542.0,,,,
764,Patrick Ricard,RB,NYG,542.1,2,,,643.2,441.0,,,
765,Rob Gronkowski,TE,,542.9,1,,,542.9,,,,
766,Mike DiLiello,QB,,543.3,1,,,543.3,,,,
767,Moose Muhammad,WR,,543.5,1,,,543.5,,,,
768,Adam Trautman,TE,DEN,543.9,2,,,681.8,406.0,,,
769,Talolo Limi-Jones,WR,,545.0,1,,,545.0,,,,
770,Colbie Young,WR,CIN,546.25,2,,,697.5,395.0,,,
771,Lewis Bond,WR,HOU,546.8,1,,,546.8,,,,
772,Albert Okwuegbunam Jr.,TE,LV,547.0,2,,,659.0,435.0,,,
773,Adrian Peterson,RB,,547.9,1,,,547.9,,,,
774,Jake Browning,QB,TB,548.05,2,,,687.1,409.0,,,
775,Monte Pottebaum,RB,,548.2,1,,,548.2,,,,
776,Luke Benson,TE,,549.0,1,,,549.0,,,,
777,Spencer Shrader,K,IND,551.5,1,,,551.5,,,,
778,Xavier Restrepo,WR,TEN,551.6,2,,,673.2,430.0,,,
779,Reggie Virgil,WR,ARI,553.25,2,,,667.5,439.0,,,
780,Shane Buechele,QB,BUF,556.0,1,,,556.0,,,,
781,Anthony Gould,WR,IND,558.1,2,,,669.2,447.0,,,
782,Davis Webb,QB,,558.5,1,,,558.5,,,,
783,Luke Altmyer,QB,DET,559.0,1,,,559.0,,,,
784,Martavis Bryant,WR,,559.0,1,,,559.0,,,,
785,Tim Jones,WR,JAX,559.9,1,,,559.9,,,,
786,Taysom Hill,TE,NO,560.95,2,,,698.9,423.0,,,
787,James Blackman,QB,,561.0,1,,,561.0,,,,
788,DeSean Jackson,WR,,563.0,1,,,563.0,,,,
789,Will Kacmarek,TE,MIA,563.15,2,,,695.3,431.0,,,
790,Isaiah Williams,WR,NYJ,563.45,2,,,674.9,452.0,,,
791,Caden Prieskorn,TE,CAR,563.5,1,,,563.5,,,,
792,Robert Tonyan,TE,PIT,564.9,1,,,564.9,,,,
793,Tennessee Titans,DST,TEN,565.0,1,,,565.0,,,,
794,Luke Farrell,TE,SF,566.0,1,,,566.0,,,,
795,Jake Rudock,QB,,567.0,1,,,567.0,,,,
796,Hakeem Butler,TE,DEN,567.2,1,,,567.2,,,,
797,Barion Brown,WR,NO,568.95,2,,,645.9,492.0,,,
798,Freddie Swain,WR,,569.5,1,,,569.5,,,,
799,Myles Price,WR,MIN,570.05,2,,,653.1,487.0,,,
800,Ty Montgomery,RB,,570.3,1,,,570.3,,,,
801,Garrett Groshek,RB,,571.0,1,,,571.0,,,,
802,Terrace Marshall Jr.,WR,MIA,571.25,2,,,671.5,471.0,,,
803,Ben Roethlisberger,QB,PIT,573.0,1,,,573.0,,,,
804,Theo Wease Jr.,WR,MIA,574.2,2,,,693.4,455.0,,,
805,Elijah Moore,WR,PHI,574.4,2,,,694.8,454.0,,,
806,Russell Wilson,QB,,574.7,1,,,574.7,,,,
807,Jake Butt,TE,,575.0,1,,,575.0,,,,
808,Austin Seibert,K,,576.0,1,,,576.0,,,,
809,Ben Mason,TE,,577.1,1,,,577.1,,,,
810,Jimmy Horn Jr.,WR,CAR,577.65,2,,,670.3,485.0,,,
811,Pharoh Cooper,WR,,579.0,1,,,579.0,,,,
812,Ke'Shawn Williams,WR,CIN,580.0,1,,,580.0,,,,
813,Drew Brees,QB,,581.1,1,,,581.1,,,,
814,Jermaine Burton,WR,,582.0,2,,,639.0,525.0,,,
815,Dan Bailey,K,,583.3,1,,,583.3,,,,
816,Tyler Bass,K,BUF,583.3,2,,136.0,583.3,,,,
817,Avery Williams,RB,,585.2,1,,,585.2,,,,
818,Montorie Foster Jr.,WR,SEA,585.25,2,,,679.5,491.0,,,
819,James White,RB,,586.5,1,,,586.5,,,,
820,Gabriel Benyard,WR,,587.0,1,,,587.0,,,,
821,Feleipe Franks,TE,CAR,588.0,1,,,588.0,,,,
822,Demetris Robertson,WR,,589.0,1,,,589.0,,,,
823,Alex Tanney,QB,,590.1,1,,,590.1,,,,
824,Arizona Cardinals,DST,ARI,591.3,1,,,591.3,,,,
825,Daniel Carlson,K,LV,593.8,1,,,593.8,,,,
826,Brogan Roback,QB,,594.0,1,,,594.0,,,,
827,Daniel Sobkowicz,WR,HOU,595.5,1,,,595.5,,,,
828,Jimmy Graham,TE,,596.5,1,,,596.5,,,,
829,New York Jets,DST,NYJ,597.0,1,,,597.0,,,,
830,Gerald Everett,TE,,598.0,1,,,598.0,,,,
831,Bobo Wilson,WR,,599.5,1,,,599.5,,,,
832,Jelani Woods,TE,NYJ,599.5,1,,,599.5,,,,
833,DeAndre Hopkins,WR,BAL,600.85,2,,,681.7,520.0,,,
834,Andre Baccellia,WR,,601.1,1,,,601.1,,,,
835,Skyy Moore,WR,GB,602.3,2,,,700.6,504.0,,,
836,Washington Commanders,DST,WAS,602.9,1,,,602.9,,,,
837,Michael Crabtree,WR,,604.0,1,,,604.0,,,,
838,Joshua Dobbs,QB,DET,606.2,1,,,606.2,,,,
839,Erik Krommenhoek,TE,,607.0,1,,,607.0,,,,
840,Cyrus Holder,WR,,608.0,1,,,608.0,,,,
841,Trinity Benson,WR,,609.0,1,,,609.0,,,,
842,Ben DiNucci,QB,,610.3,1,,,610.3,,,,
843,Cole Beasley,WR,,611.3,1,,,611.3,,,,
844,Zach Wilson,QB,NO,612.5,1,,,612.5,,,,
845,De'Montre Tuggle,RB,,613.5,1,,,613.5,,,,
846,New Orleans Saints,DST,NO,615.2,1,,,615.2,,,,
847,Kaden Wetjen,WR,PIT,615.5,1,,,615.5,,,,
848,Kazmeir Allen,WR,,617.1,1,,,617.1,,,,
849,Trey Sermon,RB,ATL,617.75,2,,,695.5,540.0,,,
850,Jamal Haynes,RB,CIN,618.0,1,,,618.0,,,,
851,Brady Russell,TE,SEA,619.0,1,,,619.0,,,,
852,Darius Cooper,WR,PHI,619.6,1,,,619.6,,,,
853,Tyler Davis,TE,,620.0,1,,,620.0,,,,
854,Payton Thorne,QB,,621.0,1,,,621.0,,,,
855,Devontres Dukes,WR,,622.5,1,,,622.5,,,,
856,Braxton Berrios,WR,NYG,623.3,1,,,623.3,,,,
857,Malcolm Perry,WR,,623.5,1,,,623.5,,,,
858,Ihmir Smith-Marsette,WR,ARI,625.0,1,,,625.0,,,,
859,Haynes King,QB,CAR,629.2,1,,,629.2,,,,
860,James McCourt,K,,630.8,1,,,630.8,,,,
861,Jalen Brooks,WR,ARI,631.7,1,,,631.7,,,,
862,Stetson Bennett,QB,LAR,634.9,1,,,634.9,,,,
863,Camerun Peoples,RB,,636.2,1,,,636.2,,,,
864,Diego Pavia,QB,,638.0,1,,,638.0,,,,
865,Javess Blue,WR,,639.2,1,,,639.2,,,,
866,Jack Strand,QB,ATL,640.5,1,,,640.5,,,,
867,Cam Grandy,TE,CIN,641.5,1,,,641.5,,,,
868,Dee Eskridge,WR,,642.0,1,,,642.0,,,,
869,Spencer Rattler,QB,NO,646.0,1,,,646.0,,,,
870,Zach Zenner,RB,,646.0,1,,,646.0,,,,
871,Kameron Johnson,WR,TB,647.2,1,,,647.2,,,,
872,Amar Johnson,RB,LAC,647.5,1,,,647.5,,,,
873,Paul Quessenberry,TE,,648.0,1,,,648.0,,,,
874,David Moore,WR,CAR,649.3,1,,,649.3,,,,
875,Artavis Pierce,RB,,650.5,1,,,650.5,,,,
876,Drew Allar,QB,PIT,651.0,1,,,651.0,,,,
877,Seydou Traore,TE,MIA,652.5,1,,,652.5,,,,
878,Sam Ehlinger,QB,DEN,653.0,1,,,653.0,,,,
879,Tyler Simmons,WR,,655.5,1,,,655.5,,,,
880,Sandro Platzgummer,RB,,657.0,1,,,657.0,,,,
881,Austin Trammell,WR,JAX,658.0,1,,,658.0,,,,
882,Jason Huntley,RB,,660.0,1,,,660.0,,,,
883,Tip Reiman,TE,ARI,661.5,1,,,661.5,,,,
884,Drew Stevens,K,WAS,662.4,1,,,662.4,,,,
885,Josh Whyle,TE,GB,663.0,1,,,663.0,,,,
886,Cade Johnson,WR,,664.0,1,,,664.0,,,,
887,Drew Lock,QB,SEA,665.1,1,,,665.1,,,,
888,Bailey Zappe,QB,NYJ,666.5,1,,,666.5,,,,
889,Charlie Jones,WR,CIN,670.5,1,,,670.5,,,,
890,Trey Lance,QB,LAC,671.2,1,,,671.2,,,,
891,Hunter Renfrow,WR,,671.5,1,,,671.5,,,,
892,Kene Nwangwu,RB,NYJ,672.0,1,,,672.0,,,,
893,Devin Duvernay,WR,ARI,673.0,1,,,673.0,,,,
894,Dedrick Mills,RB,,673.3,1,,,673.3,,,,
895,Nick Sciba,K,,674.5,1,,,674.5,,,,
896,Spencer Nigh,RB,,674.5,1,,,674.5,,,,
897,Cade Brewer,TE,,675.5,1,,,675.5,,,,
898,Trevor Wood,TE,,675.5,1,,,675.5,,,,
899,Blaine Gabbert,QB,,676.5,1,,,676.5,,,,
900,Dillon Gabriel,QB,CLE,676.6,1,,,676.6,,,,
901,Lan Larison,RB,NE,677.0,1,,,677.0,,,,
902,Rashad Rochelle,WR,SEA,677.0,1,,,677.0,,,,
903,Tommy DeVito,QB,NE,677.1,1,,,677.1,,,,
904,Aaron Anderson,WR,CLE,677.8,1,,,677.8,,,,
905,Will Levis,QB,TEN,678.0,1,,,678.0,,,,
906,Cade York,K,NYJ,678.3,1,,,678.3,,,,
907,Isaiah Neyor,WR,GB,679.0,1,,,679.0,,,,
908,Nathan Peterman,QB,,679.5,1,,,679.5,,,,
909,Jordan Jones,RB,,680.5,1,,,680.5,,,,
910,Justin Jones,RB,,681.6,1,,,681.6,,,,
911,Andrew Armstrong,WR,KC,682.0,1,,,682.0,,,,
912,Cam Newton,QB,,682.5,1,,,682.5,,,,
913,Jalen Virgil,WR,,683.0,1,,,683.0,,,,
914,Efton Chism,WR,NE,683.5,1,,,683.5,,,,
915,Colson Yankoff,TE,WAS,683.9,1,,,683.9,,,,
916,Ben Sauls,K,NYG,684.3,1,,,684.3,,,,
917,Malick Meiga,WR,,685.5,1,,,685.5,,,,
918,Davis Mills,QB,HOU,686.0,1,,,686.0,,,,
919,CJ. Johnson,WR,,686.2,1,,,686.2,,,,
920,Grant Calcaterra,TE,PHI,686.4,1,,,686.4,,,,
921,Zack Kuntz,TE,DAL,687.4,1,,,687.4,,,,
922,Robert Griffin,QB,,687.5,1,,,687.5,,,,
923,Jeff Weimer,WR,KC,687.6,1,,,687.6,,,,
924,Riley Patterson,K,MIA,687.6,1,,,687.6,,,,
925,Tyrod Taylor,QB,GB,687.6,1,,,687.6,,,,
926,Samson Nacua,WR,,688.7,1,,,688.7,,,,
927,Amari Rodgers,WR,,689.0,1,,,689.0,,,,
928,Dominic Zvada,K,NYG,689.0,1,,,689.0,,,,
929,Mason Rudolph,QB,PIT,689.9,1,,,689.9,,,,
930,Tyreik McAllister,RB,,690.0,1,,,690.0,,,,
931,Will Grier,QB,,690.0,1,,,690.0,,,,
932,Hendon Hooker,QB,TEN,690.3,1,,,690.3,,,,
933,D'Eriq King,QB,,690.5,1,,,690.5,,,,
934,Nate Sudfeld,QB,,691.0,1,,,691.0,,,,
935,Jalin Hyatt,WR,NYG,691.4,1,,,691.4,,,,
936,Omari Evans,WR,KC,691.5,1,,,691.5,,,,
937,Aaron Shampklin,RB,,692.7,1,,,692.7,,,,
938,Grant Finley,RB,NYG,692.7,1,,,692.7,,,,
939,Matt Ryan,QB,,692.7,1,,,692.7,,,,
940,Grayson Gunter,TE,,692.8,1,,,692.8,,,,
941,Nikko Remigio,WR,KC,692.8,1,,,692.8,,,,
942,TJ. Pledger,RB,,693.0,1,,,693.0,,,,
943,Andy Isabella,WR,,694.0,1,,,694.0,,,,
944,Anthony Sherman,RB,,694.4,1,,,694.4,,,,
945,Tyren Montgomery,WR,TEN,695.5,1,,,695.5,,,,
946,Matt Hibner,TE,BAL,695.9,1,,,695.9,,,,
947,Montrell Washington,WR,,695.9,1,,,695.9,,,,
948,Tyler Huntley,QB,BAL,695.9,1,,,695.9,,,,
949,Roc Taylor,WR,CAR,696.5,1,,,696.5,,,,
950,Julio Jones,WR,,696.7,1,,,696.7,,,,
951,Trayvon Rudolph,WR,MIN,696.8,1,,,696.8,,,,
952,Mark Ingram,RB,,699.2,1,,,699.2,,,,
953,Jadon Haselwood,WR,,699.3,1,,,699.3,,,,
954,Lucas Havrisik,K,,699.3,1,,,699.3,,,,
955,Jake Verity,K,,699.5,1,,,699.5,,,,
956,Israel Abanikanda,RB,DAL,699.6,1,,,699.6,,,,
957,Jacob Copeland,WR,,700.4,1,,,700.4,,,,
958,ZaQuandre White,RB,,700.5,1,,,700.5,,,,
